,class,lines,direction,text,signs,complete,alignment,sign height,images
1,PP,1,R/L,+740-048-741-851+,4,Y,,,
3,UC,1,R/L,+700-033-711-335-575-413+,6,Y,,,
1,VN,1,R/L,+700-031[,2,?,,,
3,UC,1,L/R,+400-740-000[,3,N,,,
1,SC,1,R/L,]220-700[,2,?,,,
3,UC,1,R/L,]740-840[,2,?,,,
1,SP,1,R/L,+151-760-220-003-002-861+,6,Y,Stacked linear,Unequal,
1,ZN,1,R/L,+255-033[,2,?,,,
3,UC,1,R/L,+416-590-033[,3,?,,,
1,UC,1,,+413+,1,Y,Indefinable,Indefinable,
3,UC,1,,+692+,1,Y,Indefinable,Indefinable,
1,SS,1,R/L,+740-100-176+,3,Y,Linear,Equal,
1,NU,1,,]034+,1,?,Indefinable,Indefinable,
3,UC,1,R/L,]000-760-382+,3,N,,,
1,VN,1,R/L,+700-033+,2,Y,,,
3,??,1,R/L,+000-220+,2,N,,,
1,SS,1,L/R,+740-785-004+,3,Y,,,
1,ZN,1,R/L,+033-255+,2,Y,,,
3,SC,1,R/L,+416-590-033+,3,Y,,,
1,SC,1,R/L,+700-220-004+,3,Y,,,
3,PP,1,R/L,+400-740-767-220-416+,5,Y,,,
1,NU,1,,+039+,1,Y,Indefinable,Indefinable,
1,VN,1,R/L,+700-032+,2,Y,,,
3,PP,1,R/L,+525-550-220+,3,Y,,,
1,UC,1,R/L,+740-441[,2,?,Linear,Unequal,
1,SS,1,R/L,+405-005-002+,3,Y,,,
1,NV,1,R/L,+033-700+,2,Y,,,
3,UC,1,R/L,+740-904-240+,3,Y,,,
1,VN,1,R/L,+700-032+,2,Y,,,
3,UC,1,R/L,+400-226-032+,3,Y,,,
1,SS,1,R/L,+220-016+,2,Y,Linear,Equal,
1,SC,1,R/L,+400-255-400-165-900-001+,6,Y,Linear,Equal,
1,SC,1,R/L,+820-595-032-115-550+,5,Y,,,
1,SP,1,R/L,+090-740-103-741-066+,5,Y,,Adapted,
1,PP,1,R/L,+520-033-706-231-415-803+,6,Y,Linear,Equal,
1,UC,1,R/L,]002-861[,2,?,,,
1,UC,1,R/L,+400-740-000[,3,N,,,
1,??,1,R/L,+740-000+,2,N,,,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,UC,1,,+740+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,]155-033+,2,?,,Unequal,
1,UC,1,,+700+,1,Y,Indefinable,Indefinable,
1,NU,1,,+031+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+034+,1,Y,Indefinable,Indefinable,
1,UC,1,,+550+,1,Y,Indefinable,Indefinable,
1,UC,1,,+705+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+740-000-090-400+,4,N,,,
1,UC,1,,+001+,1,Y,Indefinable,Indefinable,
1,UC,1,,+001+,1,Y,Indefinable,Indefinable,
1,UC,1,,+002+,1,Y,Indefinable,Indefinable,
1,UC,1,,+002+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+004+,1,Y,Indefinable,Indefinable,
1,NU,1,,+003+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,UC,1,,+002+,1,Y,Indefinable,Indefinable,
1,UC,1,,+002+,1,Y,Indefinable,Indefinable,
1,NU,1,,+031+,1,Y,Indefinable,Indefinable,
1,NU,1,,+031+,1,Y,Indefinable,Indefinable,
1,NU,1,,+004+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,UC,1,,+002+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+031+,1,Y,Indefinable,Indefinable,
1,NU,1,,+033+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+004+,1,Y,Indefinable,Indefinable,
1,??,1,,+003-000+,2,N,,,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,2L,2,,+003/003+,2,Y,,,
1,UC,1,,+698+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,NU,1,,+032+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+400-520-000+,3,N,,,
1,UC,1,,+687+,1,Y,Indefinable,Indefinable,
3,UC,1,R/L,+740-630+,2,Y,,,
1,LP,1,R/L,+317-740-335-740-176-002-920-491+,8,Y,,,
3,MS,1,R/L,+700-032-740-335-575-413+,6,Y,,,
1,VN,1,L/R,+700-032+,2,Y,,,
3,UC,1,L/R,+740-031-001-140+,4,Y,,,
1,UC,1,,+047+,1,Y,Indefinable,Indefinable,
1,NV,1,R/L,+033-700+,2,Y,,,
3,UC,1,R/L,+550-003-435+,3,Y,,,
1,??,1,R/L,+000-151-097-001-820+,5,N,,,
3,UC,1,R/L,+390-003-060-550+,4,Y,,,
1,VN,1,R/L,+700-036+,2,Y,,,
3,SC,1,R/L,+415-700-033-171+,4,Y,,,
1,VN,1,R/L,+700-033[,2,?,,Equal,
3,UC,1,R/L,+400-740-390-000[,4,N,,Equal,
1,NV,1,,+033-700+,2,Y,,,
3,UC,1,,+167-705+,2,Y,,,
1,PP,1,R/L,+740-390-590-060-550+,5,Y,Squeezed,Unequal,
1,SS,1,R/L,+405-005+,2,Y,,,
1,??,1,,]000-034+,2,N,,,
3,??,1,R/L,+740-636-000[,3,N,,,
1,??,1,,+000[,1,N,Indefinable,Indefinable,
3,??,1,R/L,]000-060-692+,3,N,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,UC,1,R/L,+400-740-061-140+,4,Y,,,
1,VN,1,L/R,+700-032+,2,Y,,,
3,UC,1,L/R,+740-031-001-140+,4,Y,,,
1,UC,1,,+790+,1,Y,Indefinable,Indefinable,
1,UC,1,R/L,+700-000[,2,N,,,
3,UC,1,R/L,]685-031+,2,?,,,
1,VN,1,R/L,+700-032+,2,Y,,,
3,UC,1,R/L,+400-617-829+,3,Y,,,
1,NV,1,,]000-700+,2,N,,,
3,??,1,,]000-000-000+,3,N,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,??,1,R/L,+002-220-455-000+,4,N,,,
1,UC,1,,+167-705+,2,Y,,,
1,SC,1,R/L,+868-706-590+,3,Y,,,
3,SS,1,R/L,+400-156-435-255+,4,Y,,,
1,??,1,,]100-000+,2,N,,,
1,NV,1,R/L,+033-700+,2,Y,,,
3,UC,1,R/L,+400-137+,2,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,UC,1,R/L,+000-004-745-590+,4,N,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,PP,1,R/L,+390-004-455-371-741-590+,6,Y,,,
1,VN,1,,+700-033+,2,Y,,,
3,SC,1,,+200-705-380+,3,Y,,,
1,NV,1,R/L,+034-700+,2,Y,,,
3,SC,1,R/L,+400-775-516+,3,Y,,,
1,VN,1,R/L,+700-034+,2,Y,,,
3,PP,1,R/L,+565-740-176-220+,4,Y,,,
1,UC,1,R/L,]000-740-904-240+,4,N,,,
1,NU,1,,]032[,1,?,Indefinable,Indefinable,
3,UC,1,R/L,]060-692+,2,?,,,
